Project_ID,Lat,Lon,Camera,Month_num,Month_name,Year,CommonName,Rate_of_Detection
ChedaJewel,38.043094,-122.749595,WW63,1,January,2016,Coyote,3.33
ChedaJewel,38.04309,-122.749595,WW63,1,January,2017,Grey Fox,7.69
ChedaJewel,38.038821,-122.749029,WW64,1,January,2015,Coyote,3.45
ChedaJewel,38.03882,-122.749029,WW64,1,January,2017,Grey Fox,3.4
ChedaJewel,38.034152,-122.74917,WW65,1,January,2015,Coyote,3.57
ChedaJewel,38.034152,-122.74917,WW65,1,January,2015,Grey Fox,3.57
ChedaJewel,38.034152,-122.74917,WW65,1,January,2016,Grey Fox,3.23
ChedaJewel,38.03415,-122.74917,WW65,1,January,2017,Bobcat,3.29
ChedaJewel,38.03415,-122.74917,WW65,1,January,2017,Coyote,6.59
ChedaJewel,38.03415,-122.74917,WW65,1,January,2017,Grey Fox,3.29
ChedaJewel,38.029709,-122.749492,WW66,1,January,2015,Coyote,3.57
ChedaJewel,38.029709,-122.749492,WW66,1,January,2016,Coyote,3.12
ChedaJewel,38.029709,-122.749492,WW66,1,January,2016,Grey Fox,3.12
ChedaJewel,38.04309,-122.743715,XX63,1,January,2015,Bobcat,3.57
ChedaJewel,38.04309,-122.743715,XX63,1,January,2015,Coyote,3.57
ChedaJewel,38.04309,-122.743715,XX63,1,January,2015,Grey Fox,7.14
ChedaJewel,38.04309,-122.743715,XX63,1,January,2016,Coyote,3.33
ChedaJewel,38.04309,-122.743715,XX63,1,January,2016,Grey Fox,3.33
ChedaJewel,38.04309,-122.743715,XX63,1,January,2017,Bobcat,3.57
ChedaJewel,38.04309,-122.743715,XX63,1,January,2017,Coyote,3.57
ChedaJewel,38.04309,-122.743715,XX63,1,January,2017,Grey Fox,3.57
ChedaJewel,38.03871,-122.743536,XX64,1,January,2015,Bobcat,3.57
ChedaJewel,38.03871,-122.743536,XX64,1,January,2015,Coyote,3.57
ChedaJewel,38.03871,-122.743536,XX64,1,January,2016,Bobcat,4.17
ChedaJewel,38.03871,-122.743536,XX64,1,January,2016,Grey Fox,4.17
ChedaJewel,38.03871,-122.743536,XX64,1,January,2017,Bobcat,3.57
ChedaJewel,38.03871,-122.743536,XX64,1,January,2017,Grey Fox,3.57
ChedaJewel,38.04327,-122.738221,YY63,1,January,2015,Bobcat,3.57
ChedaJewel,38.04327,-122.738221,YY63,1,January,2015,Coyote,3.57
ChedaJewel,38.03876,-122.737918,YY64,1,January,2016,Coyote,14.29
ChedaJewel,38.03876,-122.737918,YY64,1,January,2016,Grey Fox,14.29
ChedaJewel,38.03876,-122.737918,YY64,1,January,2017,Coyote,3.57
ChedaJewel,38.03876,-122.737918,YY64,1,January,2017,Grey Fox,3.57
GaryGiacomini,38.00753304,-122.6974773,FFF71,1,January,2016,Grey Fox,3.45
GaryGiacomini,38.00349376,-122.6968902,FFF72,1,January,2016,Grey Fox,3.45
GaryGiacomini,38.0130707,-122.6919864,GGG70,1,January,2015,Bobcat,5.56
GaryGiacomini,38.0130707,-122.6919864,GGG70,1,January,2015,Grey Fox,5.56
GaryGiacomini,38.01228758,-122.6855534,HHH70,1,January,2015,Bobcat,3.23
GaryGiacomini,38.01228758,-122.6855534,HHH70,1,January,2015,Coyote,3.23
GaryGiacomini,38.01228758,-122.6855534,HHH70,1,January,2015,Grey Fox,3.23
GaryGiacomini,38.00828796,-122.6863337,HHH71,1,January,2015,Coyote,5.56
GaryGiacomini,38.00828796,-122.6863337,HHH71,1,January,2015,Grey Fox,5.56
GaryGiacomini,38.00864921,-122.6799189,III71,1,January,2015,Bobcat,5
GaryGiacomini,38.00864921,-122.6799189,III71,1,January,2015,Coyote,5
GaryGiacomini,38.00864921,-122.6799189,III71,1,January,2015,Grey Fox,5
GaryGiacomini,38.00864921,-122.6799189,III71,1,January,2017,Coyote,3.18
GaryGiacomini,38.00864921,-122.6799189,III71,1,January,2017,Grey Fox,3.18
GaryGiacomini,38.00810286,-122.6746016,JJJ71,1,January,2015,Coyote,3.45
GaryGiacomini,38.00810286,-122.6746016,JJJ71,1,January,2016,Bobcat,5
GaryGiacomini,38.00810286,-122.6746016,JJJ71,1,January,2016,Grey Fox,5
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2015,Bobcat,6.25
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2015,Grey Fox,6.25
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2016,Bobcat,3.45
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2016,Grey Fox,3.45
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2017,Bobcat,3.23
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2017,Coyote,3.23
GaryGiacomini,38.00413685,-122.6744711,JJJ72,1,January,2017,Grey Fox,3.23
GaryGiacomini,37.99956533,-122.673751,JJJ73,1,January,2015,Grey Fox,3.23
GaryGiacomini,38.00409442,-122.6689583,KKK72,1,January,2015,Grey Fox,5
GaryGiacomini,38.00409442,-122.6689583,KKK72,1,January,2016,Grey Fox,3.85
GaryGiacomini,37.99945164,-122.6685464,KKK73,1,January,2015,Coyote,7.14
GaryGiacomini,37.99945164,-122.6685464,KKK73,1,January,2016,Bobcat,3.45
GaryGiacomini,37.99945164,-122.6685464,KKK73,1,January,2016,Grey Fox,3.45
GaryGiacomini,38.00419427,-122.662864,LLL72,1,January,2015,Bobcat,4.76
GaryGiacomini,38.00419427,-122.662864,LLL72,1,January,2016,Grey Fox,3.45
GaryGiacomini,38.00419427,-122.662864,LLL72,1,January,2017,Coyote,3.17
GaryGiacomini,37.99954363,-122.6628625,LLL73,1,January,2015,Grey Fox,3.85
GaryGiacomini,37.99954363,-122.6628625,LLL73,1,January,2016,Grey Fox,3.45
GaryGiacomini,38.00430495,-122.6574985,MMM72,1,January,2015,Grey Fox,3.57
GaryGiacomini,37.9997617,-122.6572349,MMM73,1,January,2015,Bobcat,3.57
GaryGiacomini,37.9997617,-122.6572349,MMM73,1,January,2016,Bobcat,3.45
GaryGiacomini,37.9997617,-122.6572349,MMM73,1,January,2016,Grey Fox,3.45
GaryGiacomini,37.9997617,-122.6572349,MMM73,1,January,2017,Bobcat,3.57
GaryGiacomini,37.9997617,-122.6572349,MMM73,1,January,2017,Grey Fox,3.57
GaryGiacomini,38.00894713,-122.6515535,NNN71,1,January,2015,Bobcat,4.55
GaryGiacomini,38.00894713,-122.6515535,NNN71,1,January,2015,Grey Fox,4.55
GaryGiacomini,38.00894713,-122.6515535,NNN71,1,January,2016,Coyote,3.85
GaryGiacomini,38.00894713,-122.6515535,NNN71,1,January,2016,Grey Fox,3.85
GaryGiacomini,38.00433312,-122.6517462,NNN72,1,January,2015,Grey Fox,3.57
GaryGiacomini,38.00433312,-122.6517462,NNN72,1,January,2017,Grey Fox,3.57
GaryGiacomini,37.99986277,-122.6457194,OOO73,1,January,2017,Grey Fox,3.57
